zip,income,soda,coffee,wine
54750,69370.97721451274,False,False,False
54812,50784.5065145298,True,False,False
54942,96429.19259414049,True,True,False
53218,40965.318635559066,False,False,False
53213,74191.63441701593,False,False,False
54703,58673.96740354592,False,False,False
53083,75253.52085499337,False,False,True
54022,73100.88075949515,False,False,True
54140,56866.13077198071,True,False,False
54961,57105.9793762653,False,False,False
53081,48253.22719632514,False,False,False
53590,78126.34189588235,False,False,False
54952,63752.57442575427,False,False,False
53212,38646.812879835896,False,True,False
53711,79557.46416022093,False,True,True
53575,90575.19338539791,False,False,False
53218,42366.75546943978,False,False,False
54006,44134.502418160824,False,False,False
54935,53206.41902880097,False,False,False
53110,51214.85111442736,True,False,False
54016,100523.78907229309,False,False,False
53018,98807.75833663547,False,False,True
54482,69809.51279999522,True,False,True
54665,44213.7650888689,True,False,False
54963,57579.48061038376,False,False,False
54403,56257.3347743028,False,True,False
53226,79631.04771203046,False,False,False
53711,89228.91189213777,False,False,False
53226,77589.85613364709,False,False,True
53925,69756.91043803842,False,False,False
53227,51924.40254002639,False,False,False
53080,59817.969609543055,True,True,False
54986,70595.07940073493,True,False,True
54977,61518.89910737528,False,False,True
54548,56671.105698348205,False,False,False
54755,59500.64185489679,False,False,False
53029,98121.51672034235,True,False,False
53209,35510.841569126154,False,False,False
53406,60629.002874373386,False,False,False
53219,59746.521855472034,False,True,False
53705,76083.25425304646,False,False,False
53122,111939.67240091355,False,False,True
53129,65386.12497248119,False,True,False
54302,46302.9054075528,False,False,False
53913,55830.33365235659,False,False,False
54401,56450.2799963269,False,False,True
53511,51597.669514259906,True,False,False
54739,72528.03068386222,False,False,False
53210,39094.07769960501,False,False,False
54482,77698.96678819132,False,True,False
53219,58006.95026544147,False,True,True
53150,98109.95777038815,True,False,True
53011,87261.48094983808,False,False,False
53715,31824.687315248753,False,True,True
53205,22177.145950051952,False,False,False
53040,77540.40353183894,False,False,False
54836,85979.45828521751,True,False,False
53074,67414.56065394821,False,True,False
54403,58948.06468067357,False,False,False
53144,63279.036236573455,False,True,False
54449,59341.687798343846,False,False,False
53186,57885.78135055545,False,True,True
53402,65764.28499669416,False,False,False
53042,66576.4117016071,False,False,False
54868,51751.56272531927,False,False,False
54956,64282.60605063093,False,False,False
53168,79239.32252794033,True,True,True
53222,61746.84752530895,False,False,False
54016,89241.23568959319,False,False,False
53406,63993.10280239181,False,False,False
54562,53686.41123672829,False,False,False
53217,102896.80390220054,False,False,True
53223,49181.18105590223,False,False,False
53204,31016.58683061516,False,False,False
54751,52760.65962069121,False,False,False
53705,68540.8607876064,False,False,False
54703,59317.830776802526,False,False,False
54527,34478.08634829525,False,False,False
53154,76166.85230352556,False,False,False
53704,60957.93688000726,False,True,False
54880,46741.74498812968,False,False,False
53189,89647.67459090994,True,False,False
54165,66526.44311417118,True,True,True
53204,34033.85222825838,False,False,False
54401,52463.06545701335,False,False,False
54220,54766.92864042207,True,True,False
54751,56215.23176967954,False,False,False
53144,64600.759757185435,False,True,False
53022,87841.59563557553,False,False,False
53704,64646.08212945129,False,False,False
54623,65326.70068165594,False,False,False
54880,45172.7120400041,True,False,False
53029,112526.57266525038,True,False,True
53211,57264.90014808515,False,False,False
53027,69491.64060236198,False,False,False
54751,57534.78882718208,False,True,False
53022,78688.98201187915,False,False,True
54538,34471.4763671507,False,False,False
54022,75441.51344430029,False,False,True
53204,29591.86061144118,False,False,True
53534,72704.23218336464,False,False,False
54729,68102.15151820144,False,False,False
54474,59187.480304653254,True,True,False
53704,59012.011423162185,False,True,False
53158,90147.00581720102,False,False,True
53403,41357.53322423442,False,True,False
53545,56617.42079679754,False,True,False
54209,68709.18606030341,False,False,False
53210,35753.139113318546,True,False,False
54754,53220.98283679887,False,False,False
54115,81510.77078963161,False,False,False
54548,57590.93863888685,False,True,False
53149,100528.86931708129,False,False,False
53168,78229.59395184559,False,False,False
54927,90269.9134860995,False,True,False
53083,78322.3965166489,False,False,False
53115,57461.990852671384,True,False,False
54481,53577.326447861335,False,True,False
53142,74295.80038855379,True,False,False
53142,75263.66445755806,False,False,False
53223,51192.42881473055,False,False,True
53072,100663.62634117746,True,True,True
54111,61721.184992281254,False,False,True
54520,42229.386065279,False,False,False
54726,52198.80449708002,False,False,False
53051,79338.21128181466,False,False,False
54304,46107.16991001803,True,False,False
53223,55159.89415795786,True,False,False
54648,62170.53158729098,True,False,False
54235,60855.73998728611,False,True,False
53182,66258.45443431927,False,True,False
53149,90199.67521333913,False,False,False
53132,92141.12508290824,False,False,True
54915,60545.66197897543,False,True,True
53045,105981.59646284254,False,True,True
53548,50020.427424563524,False,False,False
53183,108995.69561357897,False,False,False
54729,64668.29761096727,False,False,True
54180,71007.41159856823,False,False,True
53066,89431.15242809725,False,False,False
54650,69107.72387983187,False,False,False
54436,60015.3407436877,True,True,False
54015,83995.7643944561,False,False,False
54220,54858.15715250074,False,False,False
53528,81376.57608731746,True,False,True
53704,58098.79147819,False,False,False
53094,58379.00139048691,False,False,False
53406,58196.86167947338,False,False,False
54403,56369.34256010477,False,False,False
54914,56206.42424442013,True,False,False
54935,49758.58923604596,True,False,False
53022,89409.668485088,False,True,False
53589,73337.90411506801,False,False,False
54304,48592.28180804885,False,False,False
54728,51095.70646355673,False,False,False
53090,79084.23380846049,False,False,False
53704,67795.09304831247,False,False,False
54913,91749.04764645924,False,False,False
53027,70915.54535627273,False,False,False
53140,41891.953743401915,False,False,False
54942,104959.96222982726,False,True,True
53589,72245.53187900945,False,False,False
53711,81213.02542031673,False,False,False
54241,46151.384138290996,False,False,False
54843,51488.39878294439,False,False,False
53546,62068.20662378057,False,True,True
54115,80178.53063193375,False,False,False
53227,54011.21586307626,False,False,False
53083,78496.32845970246,False,False,True
54913,91737.41849415776,False,False,False
54303,41147.438019497364,False,False,True
54202,65317.40546163985,True,True,False
53118,89641.73043407974,False,True,False
54002,62626.033375826875,False,False,False
53094,57264.89771204646,False,False,False
54409,50549.56272788639,True,False,False
54304,52901.826039625594,False,False,False
54621,65125.4491508964,False,False,False
53092,113844.66428036848,False,False,True
53406,67259.0294930366,True,True,False
53593,114466.14633688096,False,True,False
54935,58690.20125365606,True,False,False
53022,92993.50297095458,False,False,True
54751,50419.2639553748,True,False,False
54311,70981.97892374017,False,False,False
54913,86571.06696920183,False,False,False
53711,89484.40925085306,False,False,False
54017,81039.39190653795,False,False,False
53144,58209.850967872226,False,False,False
53024,84554.92246372081,False,False,False
53216,38533.82767724674,False,False,False
54838,53120.468310010576,True,False,False
53185,86849.52372069762,True,False,False
53083,75236.65683988211,True,False,True
53224,58598.56847209799,False,True,False
53005,95838.53612150726,False,False,False
53719,87382.85347289997,False,False,False
53204,32179.64106945581,False,False,False
54751,53811.94170310275,True,False,False
54403,55169.51705707776,False,False,False
54956,69363.64532606353,True,False,True
54623,67348.51803841791,False,False,False
54451,55682.21587135937,False,True,False
54130,77559.1969629443,False,False,False
53555,83815.65077166195,False,False,False
54027,65988.51401268753,False,False,False
53206,25654.567888651785,False,False,False
53051,81641.99410113764,False,False,False
54703,53705.253300664925,True,True,False
53583,74515.0417387436,False,False,False
53073,68813.30535552312,False,False,False
54471,79535.92198928025,False,True,False
53035,70124.81233927085,False,True,False
54313,87488.55291120449,True,False,False
54915,62817.127511364466,False,True,False
53035,73438.1465286938,False,True,False
53086,81783.68538579793,False,False,False
54313,90258.06837739614,False,False,False
54450,51180.91203602367,False,True,True
54115,77990.20499792791,False,False,False
53221,54181.692451202114,False,False,False
53916,55981.90392902501,False,False,False
53215,38267.75583845419,False,False,False
54494,55148.587555152575,False,False,False
54963,58823.4365328005,False,True,False
53027,66909.89833667524,True,False,True
53901,48336.97187433426,False,False,False
54208,70136.96129495736,False,False,True
54751,52309.96234729318,False,False,False
54660,62245.40791592242,False,False,True
53210,37400.95576149129,False,False,False
53225,41521.61891368111,False,False,False
53221,56207.99201143622,True,False,True
53208,37506.58804412963,False,False,False
53209,34579.818345267864,True,False,True
54935,57654.6609102129,False,False,False
54409,47132.24009484981,False,False,False
53066,106409.42291073328,False,False,True
53022,84255.47051846578,False,False,True
53132,92140.0257408024,False,False,True
53177,62016.625166801,True,False,False
53593,102152.02760099823,False,False,False
53718,84996.58190551984,True,True,False
54467,59859.330223363846,False,False,False
54868,52307.52549547353,False,False,True
53403,44247.657342319246,False,True,False
54227,78250.8103114258,False,False,True
53211,65717.2362101059,False,True,False
53142,73325.9444670795,True,True,False
54149,44892.6237767023,False,False,False
53210,34384.643931277395,False,False,False
54812,48340.02586404667,False,True,False
53933,57139.81703447263,False,True,False
53589,72686.1209079319,False,False,True
54011,81955.39396469864,False,False,False
53042,59052.38467812726,False,False,False
54956,64613.613194887075,False,False,False
54915,70325.44389862948,False,False,False
53548,57040.930265839714,False,False,True
54656,58547.13279357292,False,False,False
53142,75124.5122082785,False,False,True
54636,86399.9833859833,False,True,False
53405,53888.64489566908,True,True,False
53221,53597.50074934471,False,False,False
53185,102778.42263573565,False,False,False
53210,37133.8548723584,False,False,False
53140,49774.21155520078,False,False,False
54143,54244.134338502656,False,False,False
53901,55258.34610811074,False,False,False
53549,59494.243697894904,False,False,False
53963,58313.526710604776,False,False,False
54947,81842.24051984133,False,True,False
54495,43513.75710434959,False,False,False
54603,52441.81134803565,True,False,True
53558,88046.96191157229,False,False,True
54155,75449.27804809815,False,True,True
53185,103502.01896121063,False,False,False
54806,41538.351158425816,False,True,False
53813,59642.98141864239,True,False,False
53215,39847.35998103505,False,False,False
53403,39011.07149474303,False,False,False
53158,81287.16755447008,False,True,False
53597,96907.4097771122,True,False,True
53929,54981.269877844774,False,False,False
54971,60240.814920180426,False,False,False
54220,50313.71255687691,True,False,False
54220,48372.04786849285,False,False,False
53149,108063.38112986811,False,False,False
53221,47241.37775619349,True,False,False
53074,67484.68207284129,False,False,False
53094,53823.591975463416,False,True,False
53511,48825.929122047026,False,True,False
53081,53994.3507125357,False,False,False
53188,74294.24480002085,True,False,False
53049,83140.62847458149,True,False,False
53092,105049.98744601644,True,False,True
54166,54135.36438486469,False,False,False
53144,60725.43952794367,False,False,False
54956,60133.50166585573,False,False,False
53085,66140.55054495203,False,False,False
53213,84394.99460348937,False,False,True
53913,52239.9662054678,False,False,False
53952,46859.77149820931,False,False,False
53121,73716.27839558577,False,False,True
53006,65968.41336181287,False,False,False
53572,85395.96321846865,False,True,True
54630,65386.36840956694,False,True,False
53178,61483.64593893192,False,False,False
53218,38226.94885069306,False,False,False
54867,25317.71213504053,False,False,False
53575,100475.8010123556,False,True,False
54758,68427.00809463147,False,False,False
53186,56664.243292340376,False,False,False
54017,71857.56310828855,False,True,False
54437,56274.783101277906,True,False,False
53218,37352.404415919475,False,True,False
53227,47591.333581972736,False,False,False
54154,51635.11576403309,False,True,False
54452,63002.77741902784,False,False,False
54840,61748.85900970976,False,True,False
54025,86181.00498743061,True,True,False
53223,48275.79736088031,True,False,False
54482,74767.05065896621,False,False,False
53964,46849.19331447133,False,True,False
53110,56138.10519161929,False,False,False
53105,74777.9660074008,True,False,True
53532,96654.91993934147,False,False,False
54914,50968.565397868755,True,True,False
53562,81038.26668066587,False,False,False
53186,62070.54548854412,False,False,False
53925,72782.35095721114,False,True,False
53530,63346.67018142808,False,False,True
53208,36013.58668875226,False,False,False
53589,77231.28405109845,False,False,True
54615,46817.32979043422,False,False,False
54755,53714.84899607789,False,True,False
54311,71719.88788858648,False,False,False
54945,52468.0420744062,True,False,False
53533,68333.15344325338,False,False,False
53217,98572.11265830632,False,False,True
53083,67144.66886051885,False,False,False
53140,46543.83340363399,False,True,False
53209,39092.434569805235,False,False,False
54481,54163.22950441356,False,False,False
54630,56538.10557591674,False,False,False
54601,50645.180260668996,False,False,False
53963,61191.10843753851,False,False,True
54728,54151.281103678826,False,False,False
54115,72775.04380667013,False,False,False
53207,67747.4192901584,False,False,True
54956,67437.93564231567,False,False,False
54481,48786.31130927999,True,False,False
54011,77157.37249057318,False,False,False
53149,90692.76877472155,False,False,False
53590,78255.41007146653,False,False,True
54940,70441.62639840954,False,False,False
53061,66714.91611893158,False,False,False
54016,104999.58054539782,False,False,False
53085,64486.68621854838,False,True,False
54949,61614.41989604918,False,True,False
54303,42401.11066424564,False,False,False
53538,63017.7245893838,False,False,False
53403,43987.09885271706,False,False,True
53202,54259.177564086705,False,False,False
53219,57190.591369955066,True,True,False
53403,40007.15251430959,False,True,False
53146,81495.62741091204,True,False,True
54729,56847.9944280226,False,True,False
54837,55697.972555357686,False,True,False
54656,55399.9113684939,False,False,False
54170,61223.24652147544,False,True,False
54124,45824.7419118403,False,False,False
53182,65303.50848798627,False,False,False
54130,66489.38346501214,False,False,False
54017,77453.68234419965,False,True,True
53121,76620.57699039958,True,False,True
53186,66117.68168885107,False,False,True
54466,54817.39781571342,False,False,False
53024,78631.6357665985,False,True,False
54981,63893.28437283648,False,False,True
54311,63491.279472686336,True,False,False
54401,52819.1389519018,False,False,False
53188,71348.317804245,False,False,False
54173,85147.60533274525,False,False,False
53095,72289.59165121127,False,False,True
54658,60859.65587329654,False,True,False
53072,94908.2646877963,False,False,False
54467,60829.35653483582,False,True,False
54618,57691.659248750024,False,True,False
54476,68349.4879426802,False,False,False
54913,82521.68840876978,False,True,False
53146,91695.55561162099,True,False,False
53221,54230.10111197352,False,False,False
53545,59423.35918267294,False,True,False
53226,77706.09410011045,False,False,False
53235,46702.32369715358,False,False,False
54843,46637.66653030581,False,False,False
54220,50845.36173885505,False,False,False
54601,48325.540371135256,False,False,True
54901,48875.970981738785,False,True,False
53590,84081.38314031114,False,False,True
54613,42435.887791612186,False,False,False
53024,86712.09767827022,False,False,False
54556,44075.56458307567,False,False,False
54302,44667.057345994894,False,False,False
53081,53086.20771082522,False,True,False
54311,66479.22165500726,False,True,False
54729,61160.025225475634,True,False,False
53012,92691.40833611359,False,True,False
54302,39047.4674146071,True,False,False
53711,88567.84009970345,False,False,False
53916,49935.288029182244,False,False,False
54751,58316.97668430006,False,True,False
54313,86738.80752927961,False,True,True
54940,71163.966932737,True,False,False
54403,54976.16961551155,False,False,False
54646,54044.28229711466,True,False,False
54494,60994.80221142218,False,False,True
53190,52937.106554247104,False,False,False
54452,61594.811757524236,False,False,False
53213,87629.52306845138,False,False,False
53149,108468.40671337945,False,False,False
54401,57101.089052795585,True,False,False
53218,35807.68761407495,False,False,False
53719,78630.3205279204,True,False,False
53210,34863.74817340363,False,False,False
53080,59626.01416385004,False,False,False
54937,71339.57493369706,False,False,False
54494,57312.57961692028,False,True,False
54143,49234.39784945691,False,False,False
54703,52959.527008670906,False,False,False
54403,57599.45563260315,False,False,False
53209,37182.3819222508,False,False,False
53546,60588.83668123202,False,False,False
54025,82597.43980683033,False,False,False
53218,36690.94231506755,False,False,False
54303,43728.97469642144,False,False,False
53213,82269.80009461769,False,False,False
53548,55800.08995797659,False,False,False
53202,60172.01390131798,False,False,False
53221,51183.9421104129,False,False,False
54311,64897.98002317368,True,False,False
54805,43318.38243153917,False,False,False
54819,44560.82565002651,False,False,False
54935,58818.061545853525,False,False,False
53042,57261.4181910708,True,False,False
54770,65444.166917192335,False,False,False
53223,47322.309763852485,False,False,False
53024,77020.889256517,False,False,False
54552,43673.21884068136,False,False,True
53704,65004.36971755127,False,False,False
53040,73911.52278890266,True,False,False
54220,55983.679135800216,False,False,False
53901,52054.245273554814,False,True,False
54495,45745.96992692989,False,False,False
53011,83742.34108053504,True,False,False
54624,58991.13034077867,False,False,False
53057,70469.49307811355,True,True,False
54656,64890.45635899252,False,False,False
54650,67579.06032649506,False,True,False
54603,49877.84249195079,False,False,False
53120,78020.25266215322,True,False,False
53132,75762.33825230775,False,True,True
53012,106012.76652209676,False,False,True
53916,56519.630098926325,False,False,False
53901,55257.32613964223,False,False,False
54942,105452.41636459253,False,False,False
53024,86124.00830497303,False,False,False
54935,56624.67256442588,False,False,False
53959,69348.82838197223,False,False,True
54455,68790.59927091666,False,False,False
53098,57062.6034751391,False,False,False
53227,49750.03125283434,False,False,False
53144,65961.86825404075,False,False,False
53548,48846.410043180105,False,True,False
53536,72810.43126964085,True,True,False
53004,89191.95707295644,False,True,True
53528,80496.07518284504,True,False,False
53089,92297.89799593063,False,False,False
53560,76873.25797190954,False,False,False
54481,49506.6803260032,False,False,False
53188,69848.52618211907,False,True,True
53561,88733.2548198344,False,False,True
53228,63739.72844763517,False,False,False
