review id,review title,review text,review rating,review do_recommend,review num_helpful,review date
10101,A charger,It seems to work just like any other usb plug in charger.,5,True,0,2017-01-02
99904,amazon power fast usb charger,got this for my kindle 7 tablet . Does an excellent job charging the kindle fire 7 a lot faster than the one it came with the kindle fire,5,True,2,2016-06-03
89604,Amazon powerfast wall charger,Best kindle charger ever. Took 30 minutes to being my kindle back to life.,5,True,0,2016-11-21
58704,correct plug for kindle,Quickly charges kindle so son can use it. Worked great right out of the package,5,True,0,2016-10-14
38104,Fast Charger,Bought this charger for the Kindle voyage and its great.,5,True,0,2016-09-30
76407,Good charger,This wall charger works exactly as described for the Kindle Paperwhite.,5,True,0,2016-07-22
83810,Great item,Have been using this item and it seems to be working quite well.,5,True,0,2017-03-15
32310,Nice one,Good one and working without any issues. Slim and portable,5,True,0,2016-06-24
22010,not any faster,it does not charge any faster than regular charger.,3,False,0,2016-08-18
1410,Satisfied,It does what it is suppose to. No problems with it...,4,True,0,2016-12-07
50013,Works good,Works good for a plug in for the kindle fire that I bought,5,True,0,2016-09-03
122,A great assistant,It works well it takes time for it to know your vocabulary,5,True,0,2017-01-23
89925,A Great portable Speaker and More,Works as well as the Echo and now has a skill that can enable it to be voice activated rather than having to tap it. Battery charge lasts a long time and sound quality is good. Easy to move around in and out of the house. Will work anywhere you have WIFI. If you have the tap you may not have a need to invest in the more expensive Echo.,5,True,0,2017-05-03
59025,A must for Prime members.,This is a must for Prime members great sound and can be used as Bluetooth speaker to boot.,5,True,0,2017-08-11
28125,A nice buy,This has all the benefits of the Echo for a slightly better price. I also love the portability.,5,True,0,2017-06-21
7525,Alexa,I absolutely love my amazon echo. It is very convenient and handy.,5,True,0,2017-02-03
66428,Alexa House,Before I bought this I had a blue tooth speaker and an iPod touch. Both of which had to be charged and turned on etc. now I just tell Alexa to play music.,5,True,0,2017-04-28
42931,Amazing,I literally use this thing every single day. Love it.,5,True,0,2016-12-20
91534,amazing sound quality,The sound out of this little cylinder is incredible.,5,True,0,2016-08-20
29734,Amazon Tap,Amazon Tap is exactly what I expected it would be. The sound quality is good with the Alexa features. I love that you can charge it on the base or with micro USB cord. I would recommend it to anyone that is interested in Amazon Echo and would like the portability.,5,True,0,2017-01-16
9134,Amazon Tap,Great product for when you are on the go.great sound,5,True,0,2017-08-05
78337,Amazon Tap,I have an Amazon Echo and the Amazon Tap works wonderfully with Echo. The sound quality is great. It is easy to use and set up. It beats turning on the receiver for music. If you are looking for great and easy sound machine the Tap is it.,5,True,0,2016-10-19
68037,Amazon Tap,I like the Amazon Tap because it is portable. I have used it several times and it makes things a lot easier.,5,True,0,2016-12-02
57737,amazon tap,I love this product. Great sound quality and at a good price,4,True,0,2017-03-15
37137,amazon tap,purchased this as a christmas gift for our son in law. he loved it and works well. great sound and loves the portability of the unit.,5,True,0,2017-01-18
